cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-e338500b-0100,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,134,102,e2-highcpu-32,e2-highcpu-32,1690.66,3900.6934,T_01_00_TS,02:00
cluster-wf-load-info-986acbb7-0100,wf_LOAD_Infocentro_T_01_00__T_04_00,85,93,e2-highcpu-32,e2-highcpu-32,408.32,859.7676,T_01_00_PD,02:00
cluster-wf-dmr-load-e338500b-2208,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,152,82,e2-highcpu-32,e2-highcpu-32,570.20,1060.1179,T_22_08_AV,23:08
cluster-wf-dmr-load-t-06-15-0615,wf_DMR_LOAD_T_06_15,168,70,n2-highcpu-48,n2-highcpu-48,1078.48,3675.4580,T_06_15_CREATE_FLAG_CRO,07:15
cluster-wf-load-info-7e158412-0345,wf_LOAD_Infocentro_T_03_45,229,70,e2-highcpu-32,e2-highcpu-32,1554.77,2472.7056,T_03_45_PM,04:45
cluster-wf-dmr-load-425ff947-0425,wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,42,68,e2-highcpu-32,e2-highcpu-32,110.42,170.6677,T_04_25_HO,05:25
cluster-wf-dmr-load-t-04-35-0435,wf_DMR_LOAD_T_04_35,306,68,e2-highcpu-32,e2-highcpu-32,1715.22,2651.0388,T_04_35_MIFID_II_ETL_DWH_DM,05:35
cluster-wf-load-info-83c7f70d-0730,wf_LOAD_Infocentro_T_07_30,41,68,n2d-highcpu-48,n2d-highcpu-48,240.20,729.2537,T_07_30_MIS_TAC,08:30
cluster-wf-load-info-c9c4d332-0530,wf_LOAD_Infocentro_T_05_30,161,68,e2-highcpu-32,e2-highcpu-32,919.18,1420.6785,T_05_30_CVCM,06:30
cluster-wf-dwh-load-t-06-00-0600,wf_DWH_LOAD_T_06_00,105,65,n2-highcpu-48,n2-highcpu-48,1134.27,3593.3803,Timer_6_00,07:00
cluster-wf-load-pulse-main,wf_LOAD_Pulse,30,58,n2d-highcpu-48,n2d-highcpu-48,151.57,393.4828,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-06-00-0600,wf_DMR_LOAD_T_06_00,55,53,n2-highcpu-48,n2-highcpu-48,134.12,347.6300,T_06_00_DPM,07:00
cluster-wf-load-info-10ffe88b-0500,wf_LOAD_Infocentro_T_05_00,102,53,e2-highcpu-32,e2-highcpu-32,379.69,459.2780,T_05_00_GR,06:00
cluster-wf-load-info-79279de3-0740,wf_LOAD_Infocentro_T_07_40,63,53,e2-highcpu-32,e2-highcpu-32,287.85,348.1790,T_07_40_ODIGO,08:40
cluster-wf-dmr-load-e338500b-0300,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,325,47,n2-highcpu-48,n2-highcpu-48,3111.49,7168.8784,T_03_00_TI,04:00
cluster-wf-dwh-load-t-05-50-0550,wf_DWH_LOAD_T_05_50,126,47,n2d-highcpu-48,n2d-highcpu-48,779.55,1646.4001,T_05_50_EB,06:50
cluster-wf-dmr-load-t-03-45-0345,wf_DMR_LOAD_T_03_45,274,45,n2-highcpu-48,n2-highcpu-48,1464.82,3234.3139,T_03_45_CIRBE_DIARIO,04:45
cluster-wf-dwh-load-t-03-00-0300,wf_DWH_LOAD_T_03_00,117,45,n2-highcpu-48,n2-highcpu-48,861.30,1901.7528,Timer_03_00,04:00
cluster-wf-dwh-load-t-22-31-2231,wf_DWH_LOAD_T_22_31,92,45,n2-highcpu-48,n2-highcpu-48,528.21,1166.2858,T_22_31,23:31
cluster-wf-load-info-dbf4b473-0635,wf_LOAD_Infocentro_T_06_35,197,45,n2d-highcpu-48,n2d-highcpu-48,1299.98,2631.1498,T_06_35_EX_Payments,07:35
cluster-wf-dwh-load-4b53af6c-0420,wf_DWH_LOAD_T_04_00__T_04_20,50,42,n2d-highcpu-48,n2d-highcpu-48,169.33,320.3696,Timer_4_20,05:20
cluster-wf-dmr-load-t-22-25-2225,wf_DMR_LOAD_T_22_25,26,41,e2-highcpu-32,e2-highcpu-32,48.14,45.2914,T_22_25_EEMM,23:25
