cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-e338500b-0100,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,134,405,n2-highcpu-4,n2-highcpu-4,1690.66,2745.6337,T_01_00_TS,02:00
cluster-wf-load-info-b44fa215-0520,wf_LOAD_Infocentro_T_05_20,40,130,n2d-highcpu-2,n2d-highcpu-2,112.95,27.1279,T_05_20_CG,06:20
cluster-wf-dmr-load-t-06-15-0615,wf_DMR_LOAD_T_06_15,168,105,e2-highcpu-32,e2-highcpu-32,1078.48,2560.7416,T_06_15_CREATE_FLAG_CRO,07:15
cluster-wf-dmr-load-t-05-00-0500,wf_DMR_LOAD_T_05_00,223,102,n2-highcpu-32,n2-highcpu-32,1351.68,4455.1292,T_05_00_ACT_OUT,06:00
cluster-wf-load-info-83c7f70d-0730,wf_LOAD_Infocentro_T_07_30,41,102,e2-highcpu-32,e2-highcpu-32,240.20,554.1944,T_07_30_MIS_TAC,08:30
cluster-wf-load-info-986acbb7-0100,wf_LOAD_Infocentro_T_01_00__T_04_00,85,93,e2-highcpu-32,e2-highcpu-32,408.32,859.7676,T_01_00_PD,02:00
cluster-wf-load-pulse-main,wf_LOAD_Pulse,30,87,n2-highcpu-32,n2-highcpu-32,151.57,426.8288,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-06-00-0600,wf_DMR_LOAD_T_06_00,55,79,e2-highcpu-32,e2-highcpu-32,134.12,240.3368,T_06_00_DPM,07:00
cluster-wf-dmr-load-e338500b-0300,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,325,70,e2-highcpu-32,e2-highcpu-32,3111.49,4948.5175,T_03_00_TI,04:00
cluster-wf-load-info-7e158412-0345,wf_LOAD_Infocentro_T_03_45,229,70,e2-highcpu-32,e2-highcpu-32,1554.77,2472.7056,T_03_45_PM,04:45
cluster-wf-dwh-load-t-05-50-0550,wf_DWH_LOAD_T_05_50,126,70,n2-highcpu-32,n2-highcpu-32,779.55,1771.1274,T_05_50_EB,06:50
cluster-wf-dmr-load-t-04-35-0435,wf_DMR_LOAD_T_04_35,306,68,n2-highcpu-32,n2-highcpu-32,1715.22,3787.1982,T_04_35_MIFID_II_ETL_DWH_DM,05:35
cluster-wf-dmr-load-t-03-45-0345,wf_DMR_LOAD_T_03_45,274,68,n2-highcpu-32,n2-highcpu-32,1464.82,3234.3139,T_03_45_CIRBE_DIARIO,04:45
cluster-wf-load-info-dbf4b473-0635,wf_LOAD_Infocentro_T_06_35,197,68,n2-highcpu-32,n2-highcpu-32,1299.98,2870.3452,T_06_35_EX_Payments,07:35
cluster-wf-load-info-c9c4d332-0530,wf_LOAD_Infocentro_T_05_30,161,68,n2-highcpu-32,n2-highcpu-32,919.18,2029.5408,T_05_30_CVCM,06:30
cluster-wf-dwh-load-t-03-00-0300,wf_DWH_LOAD_T_03_00,117,68,n2-highcpu-32,n2-highcpu-32,861.30,1901.7528,Timer_03_00,04:00
cluster-wf-dwh-load-t-22-31-2231,wf_DWH_LOAD_T_22_31,92,68,n2-highcpu-32,n2-highcpu-32,528.21,1166.2858,T_22_31,23:31
cluster-wf-dmr-load-425ff947-0425,wf_DMR_LOAD_T_01_30__T_03_15__T_04_25,42,68,n2d-highcpu-32,n2d-highcpu-32,110.42,223.4934,T_04_25_HO,05:25
cluster-wf-dwh-load-4b53af6c-0420,wf_DWH_LOAD_T_04_00__T_04_20,50,62,e2-highcpu-32,e2-highcpu-32,169.33,238.9565,Timer_4_20,05:20
cluster-wf-dmr-load-t-03-00-0300,wf_DMR_LOAD_T_03_00,54,60,n2-highcpu-32,n2-highcpu-32,108.33,211.4661,T_03_00_MA,04:00
cluster-wf-load-info-10ffe88b-0500,wf_LOAD_Infocentro_T_05_00,102,53,n2d-highcpu-32,n2d-highcpu-32,379.69,601.4355,T_05_00_GR,06:00
cluster-wf-load-info-79279de3-0740,wf_LOAD_Infocentro_T_07_40,63,53,n2-highcpu-32,n2-highcpu-32,287.85,497.3985,T_07_40_ODIGO,08:40
cluster-wf-dwh-load-t-01-15-0115,wf_DWH_LOAD_T_01_15,29,53,n2-highcpu-32,n2-highcpu-32,70.48,121.7880,Timer_01_15,02:15
cluster-wf-cro-rc-load-main,wf_CRO_RC_LOAD,31,45,n2d-highcpu-32,n2d-highcpu-32,175.23,236.4459,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-22-25-2225,wf_DMR_LOAD_T_22_25,26,41,e2-highcpu-32,e2-highcpu-32,48.14,45.2914,T_22_25_EEMM,23:25
